# nucl dec Total(s)  Bm(1+)(s)  Bm(1-)(s)  Bm(0-)(s)  Bm(2-)(s)
 Bh290 HL- 5.387460e+01 2.046065e+02 8.174988e+01 8.126493e+02 4.734452e+03 
 Bh291 HL- 6.729227e+01 2.159993e+02 1.180050e+02 6.187499e+02 7.116084e+03 
 Bh292 HL- 2.516019e+01 1.395552e+02 3.992472e+01 1.380238e+02 3.479051e+03 
 Bh293 HL- 3.178138e+01 1.114068e+02 5.974494e+01 1.837848e+02 3.226966e+03 
 Bh294 HL- 1.349090e+01 6.930197e+01 2.707507e+01 4.504975e+01 1.778096e+03 
 Bh295 HL- 1.666166e+01 5.758821e+01 3.515587e+01 7.378412e+01 1.525366e+03 
 Bh296 HL- 3.986871e+00 3.879672e+01 7.401354e+00 1.134236e+01 5.641977e+02 
 Bh297 HL- 3.596253e+00 3.166977e+01 6.707526e+00 1.050900e+01 4.447369e+02 
 Bh298 HL- 2.780506e+00 2.313845e+01 5.063480e+00 8.771651e+00 2.027397e+02 
 Bh299 HL- 2.396690e+00 1.829681e+01 4.538026e+00 7.262941e+00 2.201472e+02 
 Bh300 HL- 1.690449e+00 1.345120e+01 3.680785e+00 4.184526e+00 1.524543e+02 
 Bh301 HL- 1.578346e+00 1.097225e+01 3.141051e+00 4.635080e+00 1.201212e+02 
 Bh302 HL- 1.134985e+00 7.629291e+00 2.472269e+00 2.997135e+00 8.434375e+01 
 Bh303 HL- 1.029281e+00 6.738794e+00 2.235225e+00 2.765117e+00 7.078615e+01 
 Bh304 HL- 7.418784e-01 5.056650e+00 1.744033e+00 1.795164e+00 5.067233e+01 
 Bh305 HL- 6.783018e-01 4.108465e+00 1.642084e+00 1.668586e+00 4.429124e+01 
 Bh306 HL- 5.366769e-01 3.132539e+00 1.377730e+00 1.266968e+00 3.451744e+01 
 Bh307 HL- 4.732955e-01 1.622513e+00 1.015674e+00 2.239870e+00 1.526836e+01 
 Bh308 HL- 3.378348e-01 1.368375e+00 6.853197e-01 1.485633e+00 1.031501e+01 
 Bh309 HL- 5.339944e-01 2.957588e+00 1.031425e+00 1.929313e+00 2.140715e+01 
 Bh310 HL- 4.153846e-01 2.395317e+00 8.587123e-01 1.305162e+00 1.689095e+01 
 Bh311 HL- 4.079818e-01 2.301945e+00 8.033051e-01 1.422211e+00 1.455881e+01 
 Bh312 HL- 3.348952e-01 2.022749e+00 6.756189e-01 1.083431e+00 1.129766e+01 
 Bh313 HL- 2.887897e-01 2.457860e+00 5.581355e-01 8.516014e-01 1.111961e+01 
 Bh314 HL- 2.346300e-01 1.985675e+00 4.559259e-01 6.903804e-01 8.575790e+00 
 Bh315 HL- 2.102335e-01 1.837215e+00 4.057980e-01 6.210001e-01 7.260747e+00 
 Bh316 HL- 1.489360e-01 1.644386e+00 2.846998e-01 4.153452e-01 5.374732e+00 
 Bh317 HL- 1.469683e-01 1.322141e+00 2.831234e-01 4.326268e-01 4.893560e+00 
 Bh318 HL- 1.167692e-01 1.137085e+00 2.229702e-01 3.400783e-01 3.860182e+00 
 Bh319 HL- 1.115412e-01 9.194194e-01 2.054877e-01 3.692812e-01 3.297906e+00 
 Bh320 HL- 8.653044e-02 6.808272e-01 1.545057e-01 3.068063e-01 2.807501e+00 
 Bh321 HL- 7.805796e-02 5.995691e-01 1.436938e-01 2.635988e-01 2.562507e+00 
 Bh322 HL- 6.590746e-02 4.990278e-01 1.197600e-01 2.284843e-01 2.261479e+00 
 Bh323 HL- 5.917506e-02 4.242781e-01 1.078560e-01 2.092468e-01 2.034998e+00 
 Bh324 HL- 5.185837e-02 3.712891e-01 9.425760e-02 1.839995e-01 1.831665e+00 
 Bh325 HL- 4.623038e-02 3.198851e-01 8.399420e-02 1.670229e-01 1.634280e+00 
 Bh326 HL- 3.944490e-02 2.791775e-01 7.043486e-02 1.440278e-01 1.589192e+00 
 Bh327 HL- 3.584714e-02 2.492362e-01 6.438262e-02 1.308369e-01 1.410995e+00 
 Bh328 HL- 2.791734e-02 2.251772e-01 4.857011e-02 1.008619e-01 1.141895e+00 
 Bh329 HL- 2.553405e-02 1.924864e-01 4.460453e-02 9.533135e-02 9.440673e-01 
 Bh330 HL- 2.194700e-02 1.672492e-01 3.757556e-02 8.634011e-02 7.193866e-01 
 Bh331 HL- 2.095140e-02 1.457679e-01 3.676877e-02 8.271738e-02 6.317358e-01 
 Bh332 HL- 1.986660e-02 1.362710e-01 3.515524e-02 7.811984e-02 5.710023e-01 
 Bh333 HL- 1.872954e-02 1.157138e-01 3.383342e-02 7.571507e-02 5.036250e-01 
 Bh334 HL- 1.691168e-02 1.048807e-01 3.038647e-02 6.938998e-02 4.394850e-01 
 Bh335 HL- 1.585327e-02 9.096408e-02 2.885227e-02 6.709326e-02 3.966381e-01 
 Bh336 HL- 1.441435e-02 8.353563e-02 2.608704e-02 6.155198e-02 3.540198e-01 
 Bh337 HL- 1.347922e-02 7.254002e-02 2.472481e-02 5.955659e-02 3.157716e-01 
 Bh338 HL- 1.208812e-02 6.751033e-02 2.190958e-02 5.352989e-02 2.785529e-01 
 Bh339 HL- 1.146490e-02 5.926157e-02 2.105076e-02 5.269460e-02 2.586067e-01 
 Bh340 HL- 1.126616e-02 5.647922e-02 2.118240e-02 5.183901e-02 2.194771e-01 
 Db282 HL- 3.576016e+02 4.356385e+02 2.035650e+03 1.140644e+05 1.091687e+06 
 Db283 HL- 2.550727e+03 2.503067e+04 2.975862e+03 1.017695e+05 1.604895e+05 
 Db284 HL- 2.500000e+09 1.000000e+10 1.000000e+10 1.000000e+10 1.000000e+10 
 Db285 HL- 1.401678e+02 1.736166e+02 9.029721e+02 3.744798e+03 1.000000e+10 
 Db286 HL- 4.511927e+01 3.103220e+03 6.186988e+01 1.920338e+02 2.123757e+03 
 Db287 HL- 5.182355e+01 7.321614e+03 6.174624e+01 3.701757e+02 3.803346e+03 
 Db288 HL- 2.945550e+01 1.000000e+10 3.510678e+01 2.434901e+02 7.363532e+02 
 Db289 HL- 2.508668e+01 1.000000e+10 3.045721e+01 2.042678e+02 4.687552e+02 
 Db290 HL- 1.276454e+01 1.000000e+10 1.541684e+01 9.727512e+01 3.127215e+02 
 Db291 HL- 1.299214e+01 3.285673e+03 1.706531e+01 1.300582e+02 9.635765e+01 
 Db292 HL- 6.008281e+00 2.316597e+01 2.090050e+01 1.426071e+01 1.886181e+02 
