# nucl dec Total(s)  Bp(1+)(s)  Bp(1-)(s)  Bp(0-)(s)  Bp(2-)(s)  EC(1+)(s)  EC(1-)(s)  EC(0-)(s)  EC(2-)(s)
 Bh259 HL+ 1.608079e+00 2.351820e+02 1.203859e+02 1.071079e+03 5.231250e+04 1.228911e+01 1.909367e+00 4.863053e+02 8.434882e+02
 Bh260 HL+ 1.874578e+00 1.998778e+02 2.251976e+02 1.472001e+03 2.071428e+05 1.132572e+01 2.312412e+00 5.415483e+02 1.359676e+03
 Bh261 HL+ 2.606512e+00 2.681705e+03 3.752553e+02 2.142237e+03 1.000000e+10 6.270383e+01 2.760764e+00 6.391478e+02 2.387893e+03
 Bh262 HL+ 2.977324e+00 8.687685e+03 4.137963e+02 1.837650e+03 1.000000e+10 1.196544e+02 3.098007e+00 7.458999e+02 3.226904e+03
 Bh263 HL+ 4.095710e+00 4.040227e+04 9.358741e+02 6.622729e+03 2.043990e+06 2.244493e+02 4.212574e+00 1.195458e+03 4.224197e+03
 Bh264 HL+ 3.267661e+00 4.600891e+04 7.369300e+02 2.289874e+03 5.425163e+05 1.789476e+02 3.362168e+00 1.152576e+03 3.039797e+03
 Bh265 HL+ 4.892572e+00 1.960656e+05 1.450340e+03 3.845625e+04 1.012001e+06 2.905710e+02 5.010579e+00 2.195627e+03 5.123315e+03
 Bh266 HL+ 5.245166e+00 4.758628e+05 1.403175e+03 2.692679e+05 1.375311e+06 4.199239e+02 5.343466e+00 4.246004e+03 5.841610e+03
 Bh267 HL+ 1.282813e+01 2.201548e+06 4.269715e+03 1.494341e+06 3.635556e+06 6.161688e+02 1.318307e+01 5.753058e+03 1.505057e+04
 Bh268 HL+ 2.661553e+02 1.671125e+06 1.044590e+08 4.923062e+06 2.809869e+10 7.057542e+02 4.482628e+02 9.518205e+03 2.798161e+05
 Bh269 HL+ 5.054427e+02 3.577600e+10 5.474911e+07 2.905211e+06 2.966043e+10 3.651707e+03 6.138825e+02 1.361845e+04 5.404010e+05
 Cn268 HL+ 4.257643e-01 5.967323e+02 1.842883e+01 1.074539e+02 3.810003e+03 1.715865e+01 4.529333e-01 1.681123e+02 8.967439e+01
 Cn269 HL+ 4.729776e-01 6.537980e+02 2.339440e+01 1.331396e+02 3.512303e+03 1.708496e+01 5.030789e-01 1.936228e+02 9.311928e+01
 Cn270 HL+ 5.986699e-01 7.956980e+02 3.603004e+01 1.961422e+02 7.867460e+03 1.972817e+01 6.352045e-01 2.288233e+02 1.475457e+02
 Cn271 HL+ 6.920601e-01 9.326282e+02 4.539747e+01 1.797757e+02 8.150924e+03 1.993397e+01 7.376427e-01 2.533398e+02 1.564108e+02
 Cn272 HL+ 9.077222e-01 1.298503e+03 6.863476e+01 3.835931e+02 2.385693e+04 2.471644e+01 9.646842e-01 3.202515e+02 2.873777e+02
 Cn273 HL+ 1.026606e+00 1.694052e+03 8.369569e+01 6.878487e+02 1.393230e+04 2.548886e+01 1.093600e+00 4.255844e+02 2.483785e+02
 Cn274 HL+ 1.496013e+00 2.747385e+03 1.233625e+02 8.816725e+02 1.220382e+05 3.434068e+01 1.597392e+00 4.768531e+02 6.275194e+02
 Cn275 HL+ 1.710458e+00 3.102860e+03 1.533623e+02 1.109647e+03 1.522800e+05 5.573328e+01 1.799298e+00 5.249241e+02 7.883086e+02
 Cn276 HL+ 2.620976e+00 1.302545e+04 3.971758e+02 1.741717e+03 4.024497e+05 1.172003e+02 2.720764e+00 6.213939e+02 1.469394e+03
 Cn277 HL+ 3.678351e+00 1.130015e+05 5.583413e+02 2.181231e+03 4.281696e+05 3.046427e+02 3.782928e+00 6.898878e+02 1.912875e+03
 Cn278 HL+ 8.093909e+00 6.714800e+05 2.559481e+03 4.323971e+03 5.004134e+06 4.898064e+02 8.357772e+00 9.419580e+02 5.757884e+03
 Cn279 HL+ 1.655852e+01 4.513695e+06 4.461605e+03 3.814712e+03 1.069597e+07 6.350288e+02 1.743015e+01 1.180199e+03 8.977471e+03
 Cn280 HL+ 3.000285e+01 3.062836e+07 1.569151e+05 2.943446e+04 3.962818e+08 1.661444e+03 3.098900e+01 2.593718e+03 3.045059e+04
 Cn281 HL+ 4.204428e+01 1.382266e+08 1.703748e+05 4.399122e+04 3.670088e+08 2.054572e+03 4.340251e+01 4.884567e+03 4.123641e+04
 Cn282 HL+ 9.280583e+01 1.800583e+10 5.967394e+08 2.874959e+06 4.580598e+11 4.522297e+03 9.556693e+01 1.166925e+04 2.413554e+05
 Cn283 HL+ 1.363768e+02 2.538707e+07 1.000000e+10 1.681641e+08 1.676901e+13 4.534458e+03 1.417320e+02 1.844492e+04 4.418881e+05
 Cn284 HL+ 2.967280e+02 3.356998e+11 3.308795e+12 3.019600e+15 1.000000e+10 3.828318e+04 3.003397e+02 7.123445e+04 2.721623e+06
 Db255 HL+ 2.157216e+00 2.831260e+02 2.217495e+02 1.971384e+03 3.962003e+04 1.615877e+01 2.559786e+00 6.919476e+02 1.002370e+03
 Db256 HL+ 2.883855e+00 3.382531e+02 7.490975e+02 4.403080e+03 1.176391e+06 1.718642e+01 3.538367e+00 8.488380e+02 3.861155e+03
 Db257 HL+ 4.208397e+00 5.607228e+02 1.283003e+03 7.096195e+03 1.000000e+10 2.263436e+01 5.274023e+00 1.006265e+03 7.495049e+03
 Db258 HL+ 6.033629e+00 8.625242e+04 1.495005e+03 9.481832e+03 4.066866e+06 2.693726e+02 6.241131e+00 1.114422e+03 8.732019e+03
 Db259 HL+ 7.531345e+00 3.125707e+03 3.882711e+03 2.098055e+04 7.162052e+06 7.450651e+01 8.473595e+00 1.559148e+03 1.308292e+04
 Db260 HL+ 9.194682e+00 9.364883e+03 2.199360e+03 1.426886e+04 7.615365e+06 1.471573e+02 9.938739e+00 1.530832e+03 1.618839e+04
 Db261 HL+ 1.440398e+01 7.146158e+04 1.560808e+04 1.333748e+05 2.742528e+07 3.663124e+02 1.508959e+01 3.235605e+03 3.353688e+04
 Db262 HL+ 1.731277e+01 4.338858e+05 1.817187e+04 1.524135e+04 4.525370e+07 7.249563e+02 1.788275e+01 3.236690e+03 3.367848e+04
 Db263 HL+ 3.840468e+01 2.624248e+06 1.506566e+05 1.463037e+07 3.709052e+08 1.451123e+03 3.960017e+01 1.215857e+04 1.313309e+05
 Db264 HL+ 6.148531e+02 1.344605e+07 5.796164e+11 9.136303e+09 3.560711e+13 2.673197e+03 8.111365e+02 5.328814e+04 1.556858e+06
 Db265 HL+ 2.834381e+02 6.584200e+06 2.795293e+07 1.719229e+12 1.978431e+10 5.634915e+03 2.991368e+02 1.419348e+05 2.185897e+06
 Db266 HL+ 3.939688e+03 4.138094e+09 1.000000e+10 1.000000e+10 1.000000e+10 1.051411e+06 3.956119e+03 2.050497e+12 9.748233e+06
 Ds262 HL+ 4.784938e-01 7.144131e+01 1.714693e+01 1.336815e+02 3.739323e+03 5.775311e+00 5.488297e-01 1.816443e+02 1.097539e+02
 Ds263 HL+ 4.458355e-01 1.516253e+01 2.212354e+01 1.672462e+02 4.354708e+03 1.771819e+00 6.458728e-01 1.993246e+02 1.263164e+02
 Ds264 HL+ 6.594982e-01 1.023862e+03 3.370869e+01 1.897402e+02 7.372153e+03 2.836529e+01 6.973279e-01 2.076170e+02 1.628819e+02
 Ds265 HL+ 7.227310e-01 2.425001e+03 4.421993e+01 2.320482e+02 1.149548e+04 4.146041e+01 7.556124e-01 2.505008e+02 2.138379e+02
 Ds266 HL+ 9.168491e-01 4.446131e+03 7.311611e+01 4.062337e+02 2.334862e+04 5.392280e+01 9.530617e-01 3.004724e+02 3.161911e+02
 Ds267 HL+ 1.048755e+00 6.042066e+03 8.983295e+01 5.621575e+02 2.536094e+04 6.119738e+01 1.088742e+00 3.603586e+02 3.584558e+02
 Ds268 HL+ 1.399112e+00 1.038722e+04 1.617340e+02 1.070782e+03 6.875139e+04 8.194063e+01 1.446106e+00 4.638855e+02 6.099064e+02
