# nucl dec Total(s)  Bp(1+)(s)  Bp(1-)(s)  Bp(0-)(s)  Bp(2-)(s)  EC(1+)(s)  EC(1-)(s)  EC(0-)(s)  EC(2-)(s)
 Bh259 HL+ 1.725078e+00 8.340531e+02 1.596436e+02 2.464634e+03 3.097088e+04 2.453960e+01 1.890679e+00 9.828001e+02 9.053441e+02
 Bh260 HL+ 1.998224e+00 1.619198e+03 1.739612e+02 3.180496e+03 3.878470e+04 4.193254e+01 2.136583e+00 1.091419e+03 1.067115e+03
 Bh261 HL+ 2.649922e+00 3.093665e+03 3.805263e+02 7.312016e+03 1.316671e+05 5.106678e+01 2.828107e+00 1.555829e+03 2.193896e+03
 Bh262 HL+ 3.111867e+00 6.494377e+03 3.200902e+02 3.819099e+03 6.803247e+05 7.596266e+01 3.291863e+00 1.508609e+03 4.939154e+03
 Bh263 HL+ 4.299939e+00 2.545055e+04 8.556329e+02 2.932860e+04 6.631072e+05 1.512980e+02 4.460876e+00 2.805889e+03 5.532794e+03
 Bh264 HL+ 4.928586e+00 9.836420e+04 9.258719e+02 4.087237e+03 1.124484e+06 2.626013e+02 5.070405e+00 2.646947e+03 6.518061e+03
 Bh265 HL+ 8.063991e+00 8.042854e+05 2.194079e+03 2.689591e+05 3.808168e+06 5.493012e+02 8.230475e+00 6.212531e+03 1.516202e+04
 Bh266 HL+ 7.673653e+00 2.977633e+06 1.585279e+03 1.099350e+06 4.607275e+06 1.098373e+03 7.775168e+00 1.093541e+04 1.486058e+04
 Bh267 HL+ 2.250369e+01 2.112004e+08 9.712387e+03 7.942097e+06 2.463134e+07 2.144898e+03 2.283545e+01 1.762449e+04 5.128770e+04
 Bh268 HL+ 4.778837e+02 8.494532e+06 3.331771e+09 1.404412e+07 2.245395e+10 1.805583e+03 6.636123e+02 3.390219e+04 4.690253e+05
 Bh269 HL+ 8.871773e+02 1.000000e+10 1.601332e+08 2.678771e+06 1.000000e+10 2.220808e+04 9.409177e+02 5.489776e+04 1.325954e+06
 Cn268 HL+ 4.998214e-01 1.325486e+03 2.423900e+01 2.249911e+02 7.552795e+03 2.756150e+01 5.236929e-01 3.433075e+02 1.846451e+02
 Cn269 HL+ 5.498447e-01 1.790685e+03 2.639190e+01 2.781629e+02 6.532154e+03 3.014678e+01 5.761842e-01 3.961464e+02 1.905788e+02
 Cn270 HL+ 7.216357e-01 2.776197e+03 4.956322e+01 4.243282e+02 2.027893e+04 4.105806e+01 7.499623e-01 4.720826e+02 3.420034e+02
 Cn271 HL+ 8.198380e-01 3.142750e+03 5.330837e+01 5.610158e+02 8.214065e+03 4.372140e+01 8.544864e-01 5.447840e+02 2.652087e+02
 Cn272 HL+ 1.099645e+00 6.479178e+03 1.100843e+02 8.790208e+02 7.171905e+04 6.009000e+01 1.137078e+00 6.787838e+02 6.980452e+02
 Cn273 HL+ 1.190023e+00 7.361239e+03 1.122346e+02 1.450845e+03 4.318744e+04 5.625821e+01 1.234611e+00 8.919323e+02 5.903373e+02
 Cn274 HL+ 1.678893e+00 1.905281e+04 2.068347e+02 1.796601e+03 2.951153e+05 8.608169e+01 1.733600e+00 1.003602e+03 1.359334e+03
 Cn275 HL+ 2.509163e+00 2.459058e+04 3.524917e+02 2.768357e+03 9.742494e+05 9.372473e+01 2.608520e+00 1.174722e+03 2.384233e+03
 Cn276 HL+ 3.632269e+00 5.363758e+04 1.157999e+03 6.597553e+03 2.307821e+06 1.581294e+02 3.743714e+00 1.642023e+03 4.378126e+03
 Cn277 HL+ 4.551520e+00 6.733277e+03 6.475364e+02 1.188719e+04 1.794377e+06 5.868127e+01 4.994974e+00 1.993871e+03 5.395297e+03
 Cn278 HL+ 9.672134e+00 7.197925e+05 1.235805e+04 2.547011e+04 2.945796e+07 7.487456e+02 9.853162e+00 2.601305e+03 1.725619e+04
 Cn279 HL+ 1.701770e+01 9.014522e+06 6.737701e+03 8.661982e+03 1.876408e+07 1.436932e+03 1.742746e+01 2.664974e+03 2.153050e+04
 Cn280 HL+ 3.659475e+01 4.297468e+09 2.060749e+06 2.444117e+05 2.673914e+09 4.527356e+03 3.714280e+01 5.958670e+03 1.007377e+05
 Cn281 HL+ 5.093277e+01 8.792308e+11 1.432005e+05 5.163319e+04 1.699986e+08 7.791076e+03 5.170433e+01 8.165448e+03 6.324717e+04
 Cn282 HL+ 1.589469e+02 1.000000e+10 1.000000e+10 2.087422e+08 3.117005e+14 2.621297e+04 1.610559e+02 2.315085e+04 9.665248e+05
 Cn283 HL+ 2.906381e+02 6.952223e+07 1.357905e+11 6.250928e+08 3.431005e+12 9.719821e+03 3.022139e+02 3.558878e+04 1.262252e+06
 Cn284 HL+ 8.005157e+02 1.000000e+10 1.000000e+10 1.000000e+10 1.727609e+14 2.975309e+05 8.060442e+02 1.935887e+05 2.436401e+07
 Db255 HL+ 3.074987e+00 9.847989e+02 3.008973e+02 3.809312e+03 5.499588e+04 3.813332e+01 3.410926e+00 1.561920e+03 1.832781e+03
 Db256 HL+ 3.898017e+00 1.158634e+03 9.299226e+02 1.232121e+04 2.235085e+06 4.070523e+01 4.360584e+00 1.979286e+03 8.232772e+03
 Db257 HL+ 5.816896e+00 2.207971e+03 1.886785e+03 1.787965e+04 1.280299e+06 5.609549e+01 6.555407e+00 2.470080e+03 1.042118e+04
 Db258 HL+ 6.843498e+00 3.026061e+03 1.559303e+03 1.003491e+04 3.109032e+06 6.187076e+01 7.783900e+00 2.791315e+03 1.637352e+04
 Db259 HL+ 1.114661e+01 8.822684e+03 9.213473e+03 1.336306e+05 3.166774e+07 1.177413e+02 1.238231e+01 4.849372e+03 4.140721e+04
 Db260 HL+ 1.352394e+01 4.021988e+05 7.766823e+03 3.938238e+05 3.835820e+07 4.989308e+02 1.395920e+01 6.914265e+03 4.368180e+04
 Db261 HL+ 2.434103e+01 7.681777e+04 4.110878e+04 3.699367e+06 1.655246e+08 3.575616e+02 2.620833e+01 1.172616e+04 1.339245e+05
 Db262 HL+ 2.721941e+01 3.951711e+05 2.370885e+04 2.776706e+04 1.793314e+08 7.245724e+02 2.846684e+01 7.212223e+03 9.621702e+04
 Db263 HL+ 7.395166e+01 2.808665e+06 2.596797e+05 1.811876e+13 9.685830e+08 1.736114e+03 7.741570e+01 4.335634e+04 5.561603e+05
 Db264 HL+ 6.960602e+02 1.000000e+10 1.000000e+10 1.000000e+10 1.000000e+10 4.972828e+03 8.144807e+02 1.333704e+05 3.448269e+06
 Db265 HL+ 6.372197e+02 1.000000e+10 3.198077e+06 1.000000e+10 1.000000e+10 9.563090e+04 6.421789e+02 8.790890e+05 4.727981e+06
 Db266 HL+ 1.380576e+01 1.805321e+05 1.000000e+10 7.669538e+06 1.396982e+10 5.272395e+09 1.183633e+03 3.131950e+14 7.141870e+06
 Ds262 HL+ 5.686127e-01 1.784653e+02 2.444289e+01 2.928642e+02 8.302489e+03 1.058318e+01 6.222486e-01 3.690282e+02 2.303058e+02
 Ds263 HL+ 5.596226e-01 2.670928e+01 2.820971e+01 3.658673e+02 9.342350e+03 3.597460e+00 7.008166e-01 4.066634e+02 2.597586e+02
 Ds264 HL+ 8.013828e-01 1.079595e+03 4.967136e+01 5.157451e+02 2.103258e+04 3.180126e+01 8.412679e-01 4.674237e+02 3.950612e+02
 Ds265 HL+ 8.952704e-01 1.888187e+03 5.396580e+01 4.099390e+02 1.882419e+04 4.058378e+01 9.376060e-01 5.057049e+02 4.415657e+02
 Ds266 HL+ 1.163845e+00 7.747271e+03 1.087658e+02 1.129873e+03 6.178267e+04 8.217192e+01 1.199070e+00 6.636819e+02 7.461452e+02
 Ds267 HL+ 1.287123e+00 1.512774e+04 1.025824e+02 1.462232e+03 4.232751e+04 1.041317e+02 1.325940e+00 7.908693e+02 7.377694e+02
 Ds268 HL+ 1.832219e+00 3.563913e+04 2.777779e+02 3.195829e+03 2.070065e+05 1.576064e+02 1.873093e+00 1.031487e+03 1.539179e+03
 Ds269 HL+ 2.159834e+00 2.878372e+04 2.301849e+02 4.602865e+03 8.546356e+04 1.718477e+02 2.217264e+00 1.218543e+03 1.343184e+03
 Ds270 HL+ 3.263886e+00 1.768230e+05 9.392864e+02 1.185288e+04 9.146754e+05 2.739396e+02 3.325443e+00 1.698913e+03 3.615483e+03
 Ds271 HL+ 3.629021e+00 9.559829e+04 6.291248e+02 3.336322e+04 2.282667e+05 2.287685e+02 3.721673e+00 2.416568e+03 2.268986e+03
 Ds272 HL+ 7.098214e+00 2.126293e+06 5.342184e+03 5.065627e+04 9.981922e+06 4.922697e+02 7.236048e+00 2.863925e+03 1.047640e+04
 Ds273 HL+ 1.858082e+01 4.771675e+06 1.000000e+10 1.493850e+05 1.000000e+10 5.696553e+02 1.931162e+01 3.645793e+03 1.000000e+10
 Ds274 HL+ 2.178520e+01 1.045621e+08 1.105225e+06 2.802334e+06 6.808776e+08 1.097760e+03 2.230682e+01 6.882011e+03 6.312644e+04
 Ds275 HL+ 2.886273e+01 1.132967e+05 1.504223e+04 1.724448e+09 8.273502e+07 3.222116e+02 3.189811e+01 9.823174e+03 6.148693e+04
 Ds276 HL+ 1.156506e+02 1.278137e+11 3.416388e+11 1.339853e+12 1.000000e+10 1.123327e+04 1.176761e+02 1.716267e+04 6.463851e+05
 Fl272 HL+ 3.285717e-01 6.743112e+02 1.279196e+01 1.007331e+02 3.064984e+03 1.579594e+01 3.477661e-01 2.581000e+02 9.185208e+01
 Fl273 HL+ 3.657536e-01 7.237215e+02 1.471997e+01 1.230581e+02 1.664423e+03 1.622832e+01 3.879411e-01 2.911943e+02 7.534942e+01
 Fl274 HL+ 4.547112e-01 1.192899e+03 2.197658e+01 1.564127e+02 8.301328e+03 2.128341e+01 4.783943e-01 3.374375e+02 1.647891e+02
 Fl275 HL+ 5.126667e-01 1.188705e+03 2.341051e+01 1.682311e+02 4.627029e+03 1.876223e+01 5.442091e-01 3.785219e+02 1.351667e+02
 Fl276 HL+ 6.196413e-01 2.355050e+03 3.406673e+01 2.576551e+02 2.725087e+04 2.769468e+01 6.500127e-01 4.668579e+02 2.891210e+02
 Fl277 HL+ 8.310872e-01 2.950562e+03 4.506271e+01 3.160226e+02 4.236584e+04 2.986818e+01 8.775402e-01 5.151648e+02 3.914635e+02
 Fl278 HL+ 1.093684e+00 5.301603e+03 8.693338e+01 4.671255e+02 8.873319e+04 4.406500e+01 1.143350e+00 6.318542e+02 6.256277e+02
 Fl279 HL+ 1.303120e+00 1.185551e+03 8.093543e+01 5.631515e+02 9.756462e+04 2.489618e+01 1.409494e+00 6.906750e+02 7.604521e+02
 Fl280 HL+ 2.055771e+00 2.322565e+04 2.533624e+02 8.158419e+02 3.073435e+05 1.154663e+02 2.124558e+00 8.495583e+02 1.443080e+03
 Fl281 HL+ 2.849284e+00 1.072541e+05 1.947241e+02 6.887585e+02 3.279009e+05 2.209761e+02 2.957568e+00 8.559973e+02 1.797163e+03
 Fl282 HL+ 4.537979e+00 7.548747e+05 1.160338e+03 1.832175e+03 1.753401e+06 4.748275e+02 4.631921e+00 1.383954e+03 4.325831e+03
 Fl283 HL+ 6.137241e+00 5.017838e+06 1.724559e+03 1.485127e+03 3.032022e+05 7.300708e+02 6.276601e+00 1.764103e+03 2.355895e+03
 Fl284 HL+ 1.150803e+01 8.683709e+07 1.109064e+04 8.466111e+03 3.127823e+07 1.507690e+03 1.167374e+01 3.175299e+03 2.127912e+04
 Fl285 HL+ 1.674373e+01 2.605714e+06 2.761992e+04 1.656027e+04 5.915081e+07 1.890566e+03 1.699483e+01 4.497244e+03 2.928870e+04
 Fl286 HL+ 3.408143e+01 1.992363e+10 2.785780e+05 1.052555e+05 1.890750e+09 6.031306e+03 3.441756e+01 9.911727e+03 1.477164e+05
 Fl287 HL+ 2.454250e+01 1.486124e+11 1.633601e+04 4.317099e+04 1.515675e+08 1.852654e+04 2.468497e+01 1.257758e+04 5.777771e+04
 Fl288 HL+ 2.220742e+02 1.000000e+10 1.000000e+10 3.146417e+09 8.710815e+13 3.949092e+08 2.228998e+02 6.113325e+04 3.149841e+06
 Fl289 HL+ 6.005422e+01 1.161739e+11 2.515057e+05 8.096046e+06 5.770739e+09 1.163594e+05 6.036014e+01 1.582668e+04 1.174246e+05
 Fl290 HL+ 1.329799e+03 2.567712e+11 1.000000e+10 5.475897e+12 1.932093e+15 8.370930e+08 1.344325e+03 1.247034e+05 9.491461e+06
 Hs258 HL+ 8.564254e-01 3.086399e+02 4.187800e+01 5.659118e+02 1.361782e+04 1.508960e+01 9.363791e-01 5.239469e+02 3.903596e+02
 Hs259 HL+ 9.317901e-01 3.234862e+02 4.276869e+01 7.048079e+02 1.064699e+04 1.475627e+01 1.027479e+00 6.124677e+02 3.904544e+02
 Hs260 HL+ 1.301788e+00 5.332256e+02 1.098842e+02 1.289093e+03 5.661719e+04 1.989291e+01 1.421235e+00 7.142708e+02 8.906989e+02
 Hs261 HL+ 1.422831e+00 2.012195e+02 1.266373e+02 1.620964e+03 6.515273e+04 1.417890e+01 1.621854e+00 7.925612e+02 1.043241e+03
 Hs262 HL+ 1.979308e+00 2.489840e+03 2.891840e+02 3.050628e+03 2.141111e+05 5.101219e+01 2.083752e+00 1.015115e+03 1.841582e+03
 Hs263 HL+ 2.264167e+00 5.055398e+03 2.451532e+02 1.778760e+03 1.705290e+05 7.387461e+01 2.370445e+00 1.046252e+03 2.152393e+03
 Hs264 HL+ 3.067991e+00 2.161815e+04 7.078632e+02 9.430813e+03 8.129869e+05 1.582710e+02 3.152691e+00 1.637317e+03 3.822009e+03
 Hs265 HL+ 3.450692e+00 5.974785e+04 6.927951e+02 2.388042e+03 9.625574e+05 2.305238e+02 3.536635e+00 1.743391e+03 3.988057e+03
 Hs266 HL+ 5.281811e+00 3.189869e+05 1.867791e+03 5.304215e+04 3.348306e+06 4.740486e+02 5.369871e+00 3.103945e+03 8.663724e+03
 Hs267 HL+ 6.801060e+00 1.600899e+05 1.101577e+03 6.819573e+04 1.615303e+06 5.943381e+02 6.941796e+00 3.668536e+03 1.036120e+04
 Hs268 HL+ 1.204087e+01 9.607179e+06 7.272872e+03 1.148162e+06 1.998480e+07 1.528620e+03 1.218420e+01 6.833420e+03 2.634154e+04
 Hs269 HL+ 1.415209e+01 1.124493e+06 2.670797e+03 2.941560e+10 5.836484e+06 1.087754e+03 1.444690e+01 1.154225e+04 1.652470e+04
 Hs270 HL+ 1.577868e+02 3.030645e+11 5.335618e+11 4.080994e+13 2.077570e+12 3.514151e+04 1.600709e+02 1.664483e+04 5.260509e+05
 Hs271 HL+ 2.614040e+02 9.925123e+10 1.000000e+10 1.000000e+10 1.000000e+10 5.380661e+04 2.636331e+02 7.308647e+04 1.292321e+07
 Lr247 HL+ 2.191424e+00 8.971489e+02 9.317055e+01 1.802012e+03 1.253412e+04 3.773664e+01 2.410692e+00 1.084339e+03 6.244123e+02
 Lr248 HL+ 2.282867e+00 1.542529e+03 7.755956e+01 1.572972e+03 9.520892e+03 5.231345e+01 2.486161e+00 1.353780e+03 5.943413e+02
 Lr249 HL+ 3.603071e+00 4.641241e+03 2.907510e+02 4.718267e+03 3.362666e+04 9.234324e+01 3.824709e+00 1.764121e+03 1.264700e+03
 Lr250 HL+ 4.157731e+00 6.608830e+03 2.855309e+02 5.878617e+03 1.094037e+05 1.218326e+02 4.392407e+00 2.007450e+03 3.212817e+03
 Lr251 HL+ 6.329746e+00 5.632222e+04 1.462363e+03 1.439759e+04 9.831797e+04 2.853724e+02 6.532816e+00 3.175117e+03 3.220414e+03
 Lr252 HL+ 7.283154e+00 4.122767e+04 1.403418e+03 2.112698e+04 3.078172e+06 3.696685e+02 7.489987e+00 4.016822e+03 1.885365e+04
 Lr253 HL+ 1.294666e+01 1.006994e+06 7.082053e+03 3.643348e+04 5.124462e+05 8.087247e+02 1.322977e+01 5.975101e+03 1.291602e+04
 Lr254 HL+ 1.476480e+01 2.106199e+06 4.686224e+03 4.256419e+04 3.534653e+06 1.089696e+03 1.506073e+01 7.705929e+03 2.188309e+04
 Lr255 HL+ 3.680256e+01 1.700319e+07 1.750435e+04 7.850763e+04 9.734785e+07 1.659927e+03 3.786966e+01 1.161268e+04 1.393245e+05
 Lr256 HL+ 4.209005e+01 2.068571e+05 1.332477e+04 1.014153e+05 8.680174e+07 1.065127e+03 4.415492e+01 1.327106e+04 1.410943e+05
 Lr257 HL+ 1.306577e+02 4.669176e+11 1.320602e+05 1.916578e+05 2.276543e+08 7.870263e+03 1.340543e+02 1.913130e+04 5.563783e+05
 Lr258 HL+ 9.447055e+01 4.491043e+05 1.000000e+10 1.340466e+06 6.768985e+09 4.359060e+02 1.206525e+02 1.000000e+10 1.000000e+10
 Lr259 HL+ 4.611421e+02 1.349063e+11 8.497904e+04 7.581084e+04 1.000000e+10 6.605459e+05 5.402057e+02 3.450755e+03 8.944695e+05
 Lr260 HL+ 1.918849e+03 6.630108e+09 1.000000e+10 1.000000e+10 1.000000e+10 3.299399e+09 1.919725e+03 4.403900e+12 4.217563e+06
 Lv276 HL+ 2.213847e-01 4.275039e+02 7.128676e+00 5.135416e+01 1.768263e+03 9.567905e+00 2.366529e-01 2.011846e+02 5.185704e+01
