 # nucl dec Total(s)  EC(1+)(s)  EC(1-)(s)  EC(0-)(s)  EC(2-)(s)
 No238 HL+ 6.450107e-01 5.774792e+00 2.055913e+00 7.261133e-01 3.547251e-02
 No239 HL+ 7.497117e-01 6.067144e+00 2.152920e+00 8.554145e-01 4.097550e-02
 No240 HL+ 8.878681e-01 8.209868e+00 2.978086e+00 9.955313e-01 4.565543e-02
 No241 HL+ 1.005129e+00 8.292364e+00 3.025321e+00 1.143767e+00 5.333411e-02
 No242 HL+ 1.261374e+00 1.048469e+01 3.831703e+00 1.433878e+00 6.381036e-02
 No243 HL+ 1.453695e+00 1.175917e+01 4.294611e+00 1.658754e+00 7.486776e-02
 No244 HL+ 1.836100e+00 1.594639e+01 5.890338e+00 2.075023e+00 9.505195e-02
 No245 HL+ 1.858334e+00 8.352931e+00 2.718990e+00 2.390069e+00 1.096880e-01
 No246 HL+ 2.835007e+00 3.879187e+01 1.457845e+01 3.058532e+00 1.545278e-01
 No247 HL+ 3.400686e+00 5.445047e+01 2.032953e+01 3.627223e+00 1.922610e-01
 No248 HL+ 4.753403e+00 1.057165e+02 3.998089e+01 4.977196e+00 2.594587e-01
 No249 HL+ 4.603428e+00 2.323895e+02 8.253122e+01 4.696460e+00 2.715426e-01
 No250 HL+ 8.335690e+00 3.081382e+02 1.116040e+02 8.567455e+00 4.425768e-01
 No251 HL+ 1.107734e+01 4.711781e+02 1.663988e+02 1.134404e+01 5.705600e-01
 No252 HL+ 2.044083e+01 1.241549e+03 4.564765e+02 2.078300e+01 7.683776e-01
 No253 HL+ 3.138339e+01 2.353930e+03 8.607568e+02 3.180745e+01 1.077727e+00
 No254 HL+ 1.014012e+02 4.127850e+03 1.520548e+03 1.039549e+02 2.093696e+00
 No255 HL+ 1.638717e+02 2.167054e+03 7.014798e+02 1.772773e+02 9.113260e+00
 No256 HL+ 1.204070e+03 4.759708e+04 1.687729e+04 1.235320e+03 6.973574e+01
 No257 HL+ 2.125079e+03 6.352320e+04 2.239924e+04 2.198631e+03 4.460241e+01
