 # nucl dec Total(s)  Bm(1+)(s)  Bm(1-)(s)  Bm(0-)(s)  Bm(2-)(s)
 Rf282 HL- 1.313765e+03 1.333666e+04 1.887684e+03 7.326169e+03 5.014205e+04 
 Rf283 HL- 1.763434e+02 1.113251e+04 1.904621e+02 3.808330e+03 1.471587e+04 
 Rf284 HL- 9.648962e+01 3.030149e+02 1.671885e+02 9.682388e+02 2.017529e+04 
 Rf285 HL- 3.994606e+01 1.706856e+02 6.050762e+01 4.289878e+02 3.153394e+03 
 Rf286 HL- 3.235364e+01 1.232284e+02 5.188526e+01 3.293131e+02 2.068310e+03 
 Rf287 HL- 2.137583e+01 1.552117e+02 2.889776e+01 2.501517e+02 5.758194e+02 
 Rf288 HL- 1.006234e+02 5.641755e+06 1.276058e+02 1.284887e+03 7.558787e+02 
 Rf289 HL- 8.231535e+00 3.183645e+04 8.830080e+00 2.610893e+02 2.286629e+02 
 Rf290 HL- 1.054257e+01 8.519910e+04 1.245995e+01 9.961955e+01 2.199492e+02 
 Rf291 HL- 2.128524e+00 1.373667e+01 3.747752e+00 8.215752e+00 1.181037e+02 
 Rf292 HL- 2.318013e+00 8.925300e+00 6.310712e+00 6.441252e+00 1.769023e+02 
 Rf293 HL- 1.399529e+00 4.958771e+00 3.675247e+00 4.310434e+00 1.139285e+02 
 Rf294 HL- 1.347300e+00 5.629946e+00 3.330174e+00 3.967368e+00 8.154856e+01 
 Rf295 HL- 9.899552e-01 4.183401e+00 2.333870e+00 3.080409e+00 5.555036e+01 
 Rf296 HL- 8.096867e-01 3.518599e+00 1.855837e+00 2.575924e+00 4.203294e+01 
 Rf297 HL- 5.989694e-01 2.795136e+00 1.324854e+00 1.911780e+00 2.950079e+01 
 Rf298 HL- 4.504331e-01 1.709826e+00 9.332447e-01 1.937270e+00 2.104832e+01 
 Rf299 HL- 3.419466e-01 1.387834e+00 6.871253e-01 1.466213e+00 1.503348e+01 
 Rf300 HL- 6.579043e-01 4.943870e+00 1.228663e+00 2.173688e+00 2.284855e+01 
 Rf301 HL- 4.006063e-01 4.095329e+00 6.784243e-01 1.415460e+00 1.397668e+01 
 Rf302 HL- 4.312913e-01 3.189172e+00 7.866878e-01 1.508937e+00 1.404754e+01 
 Rf303 HL- 3.176044e-01 2.161432e+00 5.869317e-01 1.123207e+00 1.088957e+01 
 Rf304 HL- 2.927994e-01 2.103166e+00 5.299878e-01 1.060193e+00 9.109688e+00 
 Rf305 HL- 2.442996e-01 1.745222e+00 4.376351e-01 9.105210e-01 7.296067e+00 
 Rf306 HL- 2.079956e-01 1.445131e+00 3.777943e-01 7.644935e-01 6.218289e+00 
 Rf307 HL- 1.719224e-01 1.222870e+00 3.110171e-01 6.302932e-01 5.075906e+00 
 Rf308 HL- 1.528571e-01 1.037400e+00 2.798816e-01 5.623539e-01 4.406668e+00 
 Rf309 HL- 1.242164e-01 8.858096e-01 2.298399e-01 4.348466e-01 3.689468e+00 
 Rf310 HL- 1.138821e-01 7.725691e-01 2.102217e-01 4.137056e-01 3.199300e+00 
 Rf311 HL- 9.415981e-02 6.726055e-01 1.725561e-01 3.381509e-01 2.624599e+00 
 Rf312 HL- 8.352334e-02 5.902174e-01 1.541634e-01 2.974279e-01 2.327587e+00 
 Rf313 HL- 5.783467e-02 5.372158e-01 1.002464e-01 2.040902e-01 1.805032e+00 
 Rf314 HL- 5.906748e-02 4.497763e-01 1.071274e-01 2.093835e-01 1.678269e+00 
 Rf315 HL- 4.739409e-02 3.974219e-01 8.416199e-02 1.670587e-01 1.397254e+00 
 Rf316 HL- 4.407415e-02 3.323021e-01 7.984923e-02 1.571123e-01 1.263818e+00 
 Rf317 HL- 3.830124e-02 2.780413e-01 7.012620e-02 1.368403e-01 1.058834e+00 
 Rf318 HL- 3.526705e-02 2.416890e-01 6.491373e-02 1.282453e-01 9.853030e-01 
 Rf319 HL- 3.099184e-02 2.122991e-01 5.694448e-02 1.131527e-01 8.638213e-01 
 Rf320 HL- 2.867785e-02 1.843447e-01 5.310524e-02 1.070659e-01 7.843582e-01 
 Rf321 HL- 2.527958e-02 1.640284e-01 4.666919e-02 9.422745e-02 7.036882e-01 
 Rf322 HL- 2.332498e-02 1.470203e-01 4.298726e-02 8.905864e-02 6.331291e-01 
 Rf323 HL- 2.010837e-02 1.354180e-01 3.615870e-02 7.711988e-02 5.802808e-01 
 Rf324 HL- 1.902923e-02 1.196209e-01 3.499540e-02 7.308814e-02 5.171419e-01 
 Rf325 HL- 1.498104e-02 1.061565e-01 2.621562e-02 6.028684e-02 3.848499e-01 
 Rf326 HL- 1.478306e-02 8.818434e-02 2.715383e-02 6.163267e-02 3.074342e-01 
 Rf327 HL- 1.350449e-02 7.783166e-02 2.514901e-02 5.731583e-02 2.505630e-01 
 Rf328 HL- 1.226405e-02 6.715116e-02 2.293870e-02 5.425744e-02 2.163460e-01 
 Rf329 HL- 1.131794e-02 6.008746e-02 2.138104e-02 5.080219e-02 1.901754e-01 
 Rf330 HL- 1.061811e-02 5.220973e-02 2.049765e-02 4.929146e-02 1.680202e-01 
 Rf331 HL- 9.810203e-03 4.792731e-02 1.900900e-02 4.584417e-02 1.503745e-01 
 Rf332 HL- 9.227530e-03 4.162129e-02 1.827996e-02 4.464624e-02 1.380800e-01 
 Rf333 HL- 8.573690e-03 3.798619e-02 1.706793e-02 4.196504e-02 1.267143e-01 
 Rf334 HL- 8.003263e-03 3.389293e-02 1.613014e-02 4.019056e-02 1.167250e-01 
 Rf335 HL- 7.209270e-03 3.208378e-02 1.420822e-02 3.609823e-02 1.057312e-01 
