 # nucl dec Total(s)  Bm(1+)(s)  Bm(1-)(s)  Bm(0-)(s)  Bm(2-)(s)
 Rf282 HL- 1.956873e+03 1.333666e+04 3.576569e+03 7.326169e+03 5.014205e+04 
 Rf283 HL- 4.349555e+02 1.113251e+04 5.322765e+02 3.808330e+03 1.471587e+04 
 Rf284 HL- 1.358775e+02 3.030149e+02 3.359049e+02 9.682388e+02 2.017529e+04 
 Rf285 HL- 5.961962e+01 1.706856e+02 1.209762e+02 4.289878e+02 3.153394e+03 
 Rf286 HL- 4.613058e+01 1.232284e+02 9.957711e+01 3.293131e+02 2.068310e+03 
 Rf287 HL- 2.989395e+01 1.552117e+02 4.700454e+01 2.501517e+02 5.758194e+02 
 Rf288 HL- 7.688387e+01 5.641755e+06 9.169929e+01 1.284887e+03 7.558787e+02 
 Rf289 HL- 1.423582e+01 3.183645e+04 1.612628e+01 2.610893e+02 2.286629e+02 
 Rf290 HL- 1.554727e+01 8.519910e+04 2.011120e+01 9.961955e+01 2.199492e+02 
 Rf291 HL- 2.835518e+00 1.373667e+01 6.680613e+00 8.215752e+00 1.181037e+02 
 Rf292 HL- 2.350513e+00 8.925300e+00 6.557560e+00 6.441252e+00 1.769023e+02 
 Rf293 HL- 1.305418e+00 4.958771e+00 3.090210e+00 4.310434e+00 1.139285e+02 
 Rf294 HL- 1.373065e+00 5.629946e+00 3.492144e+00 3.967368e+00 8.154856e+01 
 Rf295 HL- 9.875234e-01 4.183401e+00 2.320399e+00 3.080409e+00 5.555036e+01 
 Rf296 HL- 8.218160e-01 3.518599e+00 1.920816e+00 2.575924e+00 4.203294e+01 
 Rf297 HL- 6.009108e-01 2.795136e+00 1.334390e+00 1.911780e+00 2.950079e+01 
 Rf298 HL- 5.016761e-01 1.709826e+00 1.183764e+00 1.937270e+00 2.104832e+01 
 Rf299 HL- 3.771737e-01 1.387834e+00 8.458776e-01 1.466213e+00 1.503348e+01 
 Rf300 HL- 7.239986e-01 4.943870e+00 1.481189e+00 2.173688e+00 2.284855e+01 
 Rf301 HL- 4.570292e-01 4.095329e+00 8.577567e-01 1.415460e+00 1.397668e+01 
 Rf302 HL- 4.700863e-01 3.189172e+00 9.260950e-01 1.508937e+00 1.404754e+01 
 Rf303 HL- 3.256578e-01 2.161432e+00 6.150391e-01 1.123207e+00 1.088957e+01 
 Rf304 HL- 3.142063e-01 2.103166e+00 6.045399e-01 1.060193e+00 9.109688e+00 
 Rf305 HL- 2.629400e-01 1.745222e+00 5.012975e-01 9.105210e-01 7.296067e+00 
 Rf306 HL- 2.201143e-01 1.445131e+00 4.197723e-01 7.644935e-01 6.218289e+00 
 Rf307 HL- 1.798230e-01 1.222870e+00 3.378719e-01 6.302932e-01 5.075906e+00 
 Rf308 HL- 1.604774e-01 1.037400e+00 3.065331e-01 5.623539e-01 4.406668e+00 
 Rf309 HL- 1.315922e-01 8.858096e-01 2.564351e-01 4.348466e-01 3.689468e+00 
 Rf310 HL- 1.195652e-01 7.725691e-01 2.304410e-01 4.137056e-01 3.199300e+00 
 Rf311 HL- 9.909586e-02 6.726055e-01 1.898898e-01 3.381509e-01 2.624599e+00 
 Rf312 HL- 8.834486e-02 5.902174e-01 1.714325e-01 2.974279e-01 2.327587e+00 
 Rf313 HL- 6.415838e-02 5.372158e-01 1.209018e-01 2.040902e-01 1.805032e+00 
 Rf314 HL- 6.311928e-02 4.497763e-01 1.212428e-01 2.093835e-01 1.678269e+00 
 Rf315 HL- 5.107768e-02 3.974219e-01 9.652329e-02 1.670587e-01 1.397254e+00 
 Rf316 HL- 4.665662e-02 3.323021e-01 8.874888e-02 1.571123e-01 1.263818e+00 
 Rf317 HL- 3.874926e-02 2.780413e-01 7.164282e-02 1.368403e-01 1.058834e+00 
 Rf318 HL- 3.606224e-02 2.416890e-01 6.765985e-02 1.282453e-01 9.853030e-01 
