 # nucl dec Total(s)  Bm(1+)(s)  Bm(1-)(s)  Bm(0-)(s)  Bm(2-)(s)
 Rf282 HL- 1.039591e+03 1.333666e+04 1.368935e+03 7.326169e+03 5.014205e+04 
 Rf283 HL- 1.577402e+02 1.113251e+04 1.689424e+02 3.808330e+03 1.471587e+04 
 Rf284 HL- 9.234480e+01 3.030149e+02 1.551243e+02 9.682388e+02 2.017529e+04 
 Rf285 HL- 4.635028e+01 1.706856e+02 7.652320e+01 4.289878e+02 3.153394e+03 
 Rf286 HL- 3.555815e+01 1.232284e+02 6.065083e+01 3.293131e+02 2.068310e+03 
 Rf287 HL- 2.098464e+01 1.552117e+02 2.818738e+01 2.501517e+02 5.758194e+02 
 Rf288 HL- 3.706215e+01 5.641755e+06 4.019247e+01 1.284887e+03 7.558787e+02 
 Rf289 HL- 1.267556e+01 3.183645e+04 1.415283e+01 2.610893e+02 2.286629e+02 
 Rf290 HL- 1.246221e+01 8.519910e+04 1.523318e+01 9.961955e+01 2.199492e+02 
 Rf291 HL- 2.460553e+00 1.373667e+01 4.915686e+00 8.215752e+00 1.181037e+02 
 Rf292 HL- 1.884069e+00 8.925300e+00 3.878631e+00 6.441252e+00 1.769023e+02 
 Rf293 HL- 1.032209e+00 4.958771e+00 1.899838e+00 4.310434e+00 1.139285e+02 
 Rf294 HL- 1.101257e+00 5.629946e+00 2.145405e+00 3.967368e+00 8.154856e+01 
 Rf295 HL- 7.903922e-01 4.183401e+00 1.463013e+00 3.080409e+00 5.555036e+01 
 Rf296 HL- 6.584444e-01 3.518599e+00 1.215767e+00 2.575924e+00 4.203294e+01 
 Rf297 HL- 4.821812e-01 2.795136e+00 8.626828e-01 1.911780e+00 2.950079e+01 
 Rf298 HL- 4.163582e-01 1.709826e+00 7.979426e-01 1.937270e+00 2.104832e+01 
 Rf299 HL- 3.136606e-01 1.387834e+00 5.817116e-01 1.466213e+00 1.503348e+01 
 Rf300 HL- 5.666727e-01 4.943870e+00 9.446420e-01 2.173688e+00 2.284855e+01 
 Rf301 HL- 3.731342e-01 4.095329e+00 6.032132e-01 1.415460e+00 1.397668e+01 
 Rf302 HL- 3.705723e-01 3.189172e+00 6.056705e-01 1.508937e+00 1.404754e+01 
 Rf303 HL- 2.563903e-01 2.161432e+00 4.072476e-01 1.123207e+00 1.088957e+01 
 Rf304 HL- 2.484299e-01 2.103166e+00 4.005113e-01 1.060193e+00 9.109688e+00 
 Rf305 HL- 2.081692e-01 1.745222e+00 3.338386e-01 9.105210e-01 7.296067e+00 
 Rf306 HL- 1.737913e-01 1.445131e+00 2.783051e-01 7.644935e-01 6.218289e+00 
 Rf307 HL- 1.420078e-01 1.222870e+00 2.251974e-01 6.302932e-01 5.075906e+00 
 Rf308 HL- 1.262590e-01 1.037400e+00 2.019750e-01 5.623539e-01 4.406668e+00 
 Rf309 HL- 1.032693e-01 8.858096e-01 1.671177e-01 4.348466e-01 3.689468e+00 
 Rf310 HL- 9.377794e-02 7.725691e-01 1.506169e-01 4.137056e-01 3.199300e+00 
 Rf311 HL- 7.823026e-02 6.726055e-01 1.256636e-01 3.381509e-01 2.624599e+00 
 Rf312 HL- 6.977124e-02 5.902174e-01 1.130394e-01 2.974279e-01 2.327587e+00 
 Rf313 HL- 5.300274e-02 5.372158e-01 8.656736e-02 2.040902e-01 1.805032e+00 
 Rf314 HL- 5.113351e-02 4.497763e-01 8.360126e-02 2.093835e-01 1.678269e+00 
 Rf315 HL- 4.196092e-02 3.974219e-01 6.842813e-02 1.670587e-01 1.397254e+00 
 Rf316 HL- 3.801229e-02 3.323021e-01 6.195078e-02 1.571123e-01 1.263818e+00 
 Rf317 HL- 3.133262e-02 2.780413e-01 4.983354e-02 1.368403e-01 1.058834e+00 
 Rf318 HL- 2.891557e-02 2.416890e-01 4.622476e-02 1.282453e-01 9.853030e-01 
 Rf319 HL- 2.472261e-02 2.122991e-01 3.884520e-02 1.131527e-01 8.638213e-01 
 Rf320 HL- 2.246456e-02 1.843447e-01 3.511856e-02 1.070659e-01 7.843582e-01 
 Rf321 HL- 1.950132e-02 1.640284e-01 3.016739e-02 9.422745e-02 7.036882e-01 
 Rf322 HL- 1.787560e-02 1.470203e-01 2.752366e-02 8.905864e-02 6.331291e-01 
 Rf323 HL- 1.536341e-02 1.354180e-01 2.324768e-02 7.711988e-02 5.802808e-01 
 Rf324 HL- 1.443281e-02 1.196209e-01 2.206968e-02 7.308814e-02 5.171419e-01 
 Rf325 HL- 1.229989e-02 1.061565e-01 1.897688e-02 6.028684e-02 3.848499e-01 
 Rf326 HL- 1.184358e-02 8.818434e-02 1.865111e-02 6.163267e-02 3.074342e-01 
 Rf327 HL- 1.072505e-02 7.783166e-02 1.696259e-02 5.731583e-02 2.505630e-01 
 Rf328 HL- 9.931844e-03 6.715116e-02 1.593839e-02 5.425744e-02 2.163460e-01 
 Rf329 HL- 9.110280e-03 6.008746e-02 1.466680e-02 5.080219e-02 1.901754e-01 
 Rf330 HL- 8.508137e-03 5.220973e-02 1.386158e-02 4.929146e-02 1.680202e-01 
 Rf331 HL- 7.791225e-03 4.792731e-02 1.265478e-02 4.584417e-02 1.503745e-01 
 Rf332 HL- 7.320880e-03 4.162129e-02 1.205851e-02 4.464624e-02 1.380800e-01 
 Rf333 HL- 6.750586e-03 3.798619e-02 1.110016e-02 4.196504e-02 1.267143e-01 
 Rf334 HL- 6.304034e-03 3.389293e-02 1.045202e-02 4.019056e-02 1.167250e-01 
 Rf335 HL- 5.671834e-03 3.208378e-02 9.260866e-03 3.609823e-02 1.057312e-01 
