 # nucl dec Total(s)  Bm(1+)(s)  Bm(1-)(s)  Bm(0-)(s)  Bm(2-)(s)
 Rf282 HL- 1.393378e+03 1.333666e+04 2.056518e+03 7.326169e+03 5.014205e+04 
 Rf283 HL- 1.855426e+02 1.113251e+04 2.012383e+02 3.808330e+03 1.471587e+04 
 Rf284 HL- 1.160751e+02 3.030149e+02 2.362630e+02 9.682388e+02 2.017529e+04 
 Rf285 HL- 6.282242e+01 1.706856e+02 1.349351e+02 4.289878e+02 3.153394e+03 
 Rf286 HL- 4.784793e+01 1.232284e+02 1.079398e+02 3.293131e+02 2.068310e+03 
 Rf287 HL- 3.256717e+01 1.552117e+02 5.397026e+01 2.501517e+02 5.758194e+02 
 Rf288 HL- 6.960477e+01 5.641755e+06 8.153008e+01 1.284887e+03 7.558787e+02 
 Rf289 HL- 2.762496e+01 3.183645e+04 3.575977e+01 2.610893e+02 2.286629e+02 
 Rf290 HL- 2.425893e+01 8.519910e+04 3.755798e+01 9.961955e+01 2.199492e+02 
 Rf291 HL- 3.230410e+00 1.373667e+01 9.382991e+00 8.215752e+00 1.181037e+02 
 Rf292 HL- 2.579476e+00 8.925300e+00 8.715936e+00 6.441252e+00 1.769023e+02 
 Rf293 HL- 1.503777e+00 4.958771e+00 4.493239e+00 4.310434e+00 1.139285e+02 
 Rf294 HL- 1.550805e+00 5.629946e+00 4.928876e+00 3.967368e+00 8.154856e+01 
 Rf295 HL- 1.153567e+00 4.183401e+00 3.506277e+00 3.080409e+00 5.555036e+01 
 Rf296 HL- 9.556562e-01 3.518599e+00 2.855542e+00 2.575924e+00 4.203294e+01 
 Rf297 HL- 7.165841e-01 2.795136e+00 2.079975e+00 1.911780e+00 2.950079e+01 
 Rf298 HL- 5.851107e-01 1.709826e+00 1.784048e+00 1.937270e+00 2.104832e+01 
 Rf299 HL- 4.515228e-01 1.387834e+00 1.341141e+00 1.466213e+00 1.503348e+01 
 Rf300 HL- 8.335017e-01 4.943870e+00 2.025633e+00 2.173688e+00 2.284855e+01 
 Rf301 HL- 5.714031e-01 4.095329e+00 1.373880e+00 1.415460e+00 1.397668e+01 
 Rf302 HL- 5.558138e-01 3.189172e+00 1.330322e+00 1.508937e+00 1.404754e+01 
 Rf303 HL- 3.956398e-01 2.161432e+00 9.235691e-01 1.123207e+00 1.088957e+01 
 Rf304 HL- 3.771602e-01 2.103166e+00 8.905346e-01 1.060193e+00 9.109688e+00 
 Rf305 HL- 3.160219e-01 1.745222e+00 7.374564e-01 9.105210e-01 7.296067e+00 
 Rf306 HL- 2.639758e-01 1.445131e+00 6.144865e-01 7.644935e-01 6.218289e+00 
 Rf307 HL- 2.172939e-01 1.222870e+00 4.998147e-01 6.302932e-01 5.075906e+00 
 Rf308 HL- 1.900397e-01 1.037400e+00 4.361210e-01 5.623539e-01 4.406668e+00 
 Rf309 HL- 1.513392e-01 8.858096e-01 3.438722e-01 4.348466e-01 3.689468e+00 
 Rf310 HL- 1.388845e-01 7.725691e-01 3.148516e-01 4.137056e-01 3.199300e+00 
 Rf311 HL- 1.159297e-01 6.726055e-01 2.630964e-01 3.381509e-01 2.624599e+00 
 Rf312 HL- 1.022516e-01 5.902174e-01 2.328985e-01 2.974279e-01 2.327587e+00 
 Rf313 HL- 7.917003e-02 5.372158e-01 1.881187e-01 2.040902e-01 1.805032e+00 
 Rf314 HL- 7.596304e-02 4.497763e-01 1.795592e-01 2.093835e-01 1.678269e+00 
 Rf315 HL- 6.299380e-02 3.974219e-01 1.502234e-01 1.670587e-01 1.397254e+00 
 Rf316 HL- 5.689853e-02 3.323021e-01 1.349581e-01 1.571123e-01 1.263818e+00 
 Rf317 HL- 4.788139e-02 2.780413e-01 1.106669e-01 1.368403e-01 1.058834e+00 
 Rf318 HL- 4.334695e-02 2.416890e-01 9.881763e-02 1.282453e-01 9.853030e-01 
 Rf319 HL- 3.708227e-02 2.122991e-01 8.155628e-02 1.131527e-01 8.638213e-01 
 Rf320 HL- 3.336545e-02 1.843447e-01 7.177963e-02 1.070659e-01 7.843582e-01 
 Rf321 HL- 2.885396e-02 1.640284e-01 6.050677e-02 9.422745e-02 7.036882e-01 
 Rf322 HL- 2.605110e-02 1.470203e-01 5.325863e-02 8.905864e-02 6.331291e-01 
 Rf323 HL- 2.204105e-02 1.354180e-01 4.292726e-02 7.711988e-02 5.802808e-01 
 Rf324 HL- 2.073039e-02 1.196209e-01 4.121535e-02 7.308814e-02 5.171419e-01 
 Rf325 HL- 1.796838e-02 1.061565e-01 3.697204e-02 6.028684e-02 3.848499e-01 
 Rf326 HL- 1.717779e-02 8.818434e-02 3.650042e-02 6.163267e-02 3.074342e-01 
 Rf327 HL- 1.553921e-02 7.783166e-02 3.325919e-02 5.731583e-02 2.505630e-01 
 Rf328 HL- 1.433928e-02 6.715116e-02 3.145262e-02 5.425744e-02 2.163460e-01 
 Rf329 HL- 1.313789e-02 6.008746e-02 2.895963e-02 5.080219e-02 1.901754e-01 
 Rf330 HL- 1.213777e-02 5.220973e-02 2.703081e-02 4.929146e-02 1.680202e-01 
 Rf331 HL- 1.109893e-02 4.792731e-02 2.452738e-02 4.584417e-02 1.503745e-01 
 Rf332 HL- 1.029127e-02 4.162129e-02 2.298685e-02 4.464624e-02 1.380800e-01 
 Rf333 HL- 9.459893e-03 3.798619e-02 2.098066e-02 4.196504e-02 1.267143e-01 
 Rf334 HL- 8.729461e-03 3.389293e-02 1.937935e-02 4.019056e-02 1.167250e-01 
 Rf335 HL- 7.769673e-03 3.208378e-02 1.656260e-02 3.609823e-02 1.057312e-01 
